PropName,BladeName,Family,B,D,P,P_D,J,N,CT,CP,eta,D_ft,A_sqft,N_rps,SLT_lbf,SLP_hp,DL_psf,Vtip_fps,Vtip_mach,CT_hov,CT_sig,CP_i,P_i,FM
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.1650,4000,0.0993,0.05390,0.3040,0.7083,0.3941,66.67,2.0471,0.2997,5.1948,148.4,0.1349,0.0993,0.9954,0.0221,77.82,0.4721
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.2140,4000,0.0947,0.05430,0.3740,0.7083,0.3941,66.67,1.9523,0.3019,4.9542,148.4,0.1349,0.0947,0.9493,0.0206,72.48,0.4364
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.2550,4000,0.0916,0.05480,0.4270,0.7083,0.3941,66.67,1.8883,0.3047,4.7920,148.4,0.1349,0.0916,0.9182,0.0196,68.95,0.4114
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.3010,4000,0.0847,0.05400,0.4730,0.7083,0.3941,66.67,1.7461,0.3003,4.4310,148.4,0.1349,0.0847,0.8490,0.0174,61.30,0.3712
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.3400,4000,0.0796,0.05300,0.5110,0.7083,0.3941,66.67,1.6410,0.2947,4.1642,148.4,0.1349,0.0796,0.7979,0.0159,55.85,0.3446
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4000,4000,0.0718,0.05040,0.5700,0.7083,0.3941,66.67,1.4802,0.2803,3.7562,148.4,0.1349,0.0718,0.7197,0.0136,47.85,0.3104
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4380,4000,0.0659,0.04810,0.6020,0.7083,0.3941,66.67,1.3585,0.2675,3.4475,148.4,0.1349,0.0659,0.6606,0.0120,42.07,0.2860
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4830,4000,0.0583,0.04510,0.6250,0.7083,0.3941,66.67,1.2019,0.2508,3.0499,148.4,0.1349,0.0583,0.5844,0.0100,35.01,0.2538
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.5310,4000,0.0497,0.04100,0.6440,0.7083,0.3941,66.67,1.0246,0.2280,2.6000,148.4,0.1349,0.0497,0.4982,0.0078,27.56,0.2198
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.5670,4000,0.0430,0.03720,0.6550,0.7083,0.3941,66.67,0.8865,0.2069,2.2495,148.4,0.1349,0.0430,0.4310,0.0063,22.18,0.1949
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.6150,4000,0.0336,0.03180,0.6480,0.7083,0.3941,66.67,0.6927,0.1768,1.7578,148.4,0.1349,0.0336,0.3368,0.0044,15.32,0.1575
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.6640,4000,0.0252,0.02650,0.6320,0.7083,0.3941,66.67,0.5195,0.1474,1.3183,148.4,0.1349,0.0252,0.2526,0.0028,9.95,0.1228
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.7050,4000,0.0172,0.02170,0.5610,0.7083,0.3941,66.67,0.3546,0.1207,0.8998,148.4,0.1349,0.0172,0.1724,0.0016,5.61,0.0845
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.7530,4000,0.0091,0.01620,0.4240,0.7083,0.3941,66.67,0.1876,0.0901,0.4761,148.4,0.1349,0.0091,0.0912,0.0006,2.16,0.0436
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.7900,4000,0.0025,0.01180,0.1650,0.7083,0.3941,66.67,0.0515,0.0656,0.1308,148.4,0.1349,0.0025,0.0251,0.0001,0.31,0.0086
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.1340,5004,0.1035,0.05230,0.2640,0.7083,0.3941,83.40,3.3392,0.5694,8.4738,185.6,0.1687,0.1035,1.0375,0.0235,162.12,0.5177
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.1690,5004,0.1016,0.05360,0.3210,0.7083,0.3941,83.40,3.2779,0.5835,8.3182,185.6,0.1687,0.1016,1.0184,0.0229,157.68,0.4913
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.2050,5004,0.0984,0.05380,0.3750,0.7083,0.3941,83.40,3.1747,0.5857,8.0562,185.6,0.1687,0.0984,0.9863,0.0218,150.29,0.4665
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.2390,5004,0.0953,0.05400,0.4220,0.7083,0.3941,83.40,3.0746,0.5879,7.8024,185.6,0.1687,0.0953,0.9553,0.0208,143.24,0.4430
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.2780,5004,0.0909,0.05420,0.4660,0.7083,0.3941,83.40,2.9327,0.5901,7.4422,185.6,0.1687,0.0909,0.9112,0.0194,133.44,0.4112
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.3110,5004,0.0872,0.05380,0.5030,0.7083,0.3941,83.40,2.8133,0.5857,7.1393,185.6,0.1687,0.0872,0.8741,0.0182,125.38,0.3892
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.3460,5004,0.0823,0.05340,0.5340,0.7083,0.3941,83.40,2.6552,0.5813,6.7381,185.6,0.1687,0.0823,0.8250,0.0167,114.96,0.3595
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.3820,5004,0.0765,0.05140,0.5690,0.7083,0.3941,83.40,2.4681,0.5596,6.2632,185.6,0.1687,0.0765,0.7668,0.0150,103.02,0.3347
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4210,5004,0.0711,0.05000,0.5980,0.7083,0.3941,83.40,2.2939,0.5443,5.8211,185.6,0.1687,0.0711,0.7127,0.0134,92.31,0.3083
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4530,5004,0.0662,0.04810,0.6240,0.7083,0.3941,83.40,2.1358,0.5236,5.4199,185.6,0.1687,0.0662,0.6636,0.0120,82.93,0.2880
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4950,5004,0.0599,0.04590,0.6450,0.7083,0.3941,83.40,1.9325,0.4997,4.9041,185.6,0.1687,0.0599,0.6004,0.0104,71.38,0.2597
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.5270,5004,0.0537,0.04260,0.6650,0.7083,0.3941,83.40,1.7325,0.4638,4.3965,185.6,0.1687,0.0537,0.5383,0.0088,60.59,0.2375
